1957,"Have Gun - Will Travel",Red Rock Canyon State Park - Highway 14 Cantil California 
1959,"Hawaiian Eye",Stage 27A Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California 
1992,"Heartbeat",Goathland North Yorkshire England 
2016,"Heartbeat",Stage 3 Universal Studios - 100 Universal City Plaza Universal City California 
1994,"Heaven & Hell: North & South, Book III",Texas 
1997,"Henry VIII",Lincoln Lincolnshire England 
2002,"Heroes of Black Comedy",Brooklyn New York City New York 
2008,"Hi-5 UK",Teddington Studios Teddington Middlesex England 
2006,"Hidden History",Kilmainham Jail Dublin County Dublin 
1998,"Hidden Treasures",Corriganville Ray Corrigan Ranch Simi Valley California 
2018,"Hidden/Craith",Menai Straits Gwynedd England 
1996,"High Incident",Chatsworth Los Angeles California 
1974,"High Rollers",Stage 1 NBC Studios - 3000 W. Alameda Avenue Burbank California 
1984,"Highway to Heaven",Big Sky Ranch - 4927 Bennett Road Simi Valley California 
2006,"Hip Hop Harry",Hollywood Los Angeles California 
2001,"HippHipp!",The Great Pyramids Giza Plateau Giza 
2007,"Historien bag kameraet",Reprise Teatret Holte Sjælland 
2007,"Holby Blue",Woking Surrey England 
2012,"Hollywood Angels",Hollywood Los Angeles California 
2003,"Hollywood Express",Hollywood Los Angeles California 
1951,"Hollywood Opening Night",NBC Studios - 3000 W. Alameda Avenue Burbank California 
1980,"Hollywood",BBC Enterprises Wood Lane Shepherd's Bush London England 
1989,"Holmes",TVNZ Television Centre Victoria Street West Auckland Central Business District Auckland 
2015,"Home Fires",Village Hall Vicarage Lane Bunbury Cheshire England 
1967,"Hondo",Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd. Culver City California 
2008,"Honest",Egham Surrey England 
1998,"Honolulu CRU",Honolulu O'ahu Hawaii 
2008,"Hora Q",Sant Joan Despí Barcelona Catalonia 
2009,"Horne & Corden",Inglis Barracks Mill Hill London England 
2008,"Hot Gay Comics",Comix Comedy Club Manhattan New York City New York 
1990,"Hotel Paradies",Hotel Es Molí Deiá Mallorca 
2004,"Houses Behaving Badly",Coventry West Midlands England 
2005,"How I Met Your Mother",Stage 22 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California 
2011,"Hubert und Staller",Hubert Graf Bäckerei Ammerlander Hauptstraße 15 Münsing Bavaria 
2014,"Hubertusjagd, Los Angeles",California 
2017,"Hug It Out",Echo Park Los Angeles California 
1990,"Hull High",El Camino Real High School - 5400 Valley Circle Road Woodland Hills Los Angeles California 
2015,"Humans",Diamond newsagent Islington Lonfon England 
2016,"Hunters",Docklands Studios Melbourne Victoria 
2012,"Hyperlinked",Loyola Marymount University - 1 LMU Drive Westchester Los Angeles California 
1965,"I'll Bet",Stage 1 NBC Studios - 3000 W. Alameda Avenue Burbank California 
1987,"I'll Take Manhattan",Atrium on Bay Toronto Ontario 
